Time (s),Thrust (N),Oxidizer Tank Pressure (kPa),Combustion Chamber Pressure (kPa),Injector Pressure Drop (kPa),Oxidizer Mass (kg),Fuel Mass (kg),Oxidizer Mass Flow Rate (kg/s),Fuel Mass Flow Rate (kg/s),Exhaust Mass Flow Rate (kg/s),Oxidizer to Fuel Ratio,Grain ID (cm),Regression Rate (mm/s)
0,0,5060.1283,101.325,0,5.2496221,3.3464796,0,0,0,0,1.26071,0
0.002,0,5060.1283,199.11413,-1.4665895,5.2446276,3.3450693,2.4972361,0.70513176,0.061209747,3.5415169,1.2736831,0.032432764
0.004,66.583065,5058.6617,292.58014,-1.6309423,5.239683,3.3436685,2.4722722,0.70042165,0.1204216,3.5296913,1.2864383,0.031887984
0.006,154.97474,5057.0308,381.23687,-1.6367869,5.2347868,3.3422768,2.4481332,0.69585466,0.17714683,3.5181675,1.2989847,0.031365951
0.008,238.53426,5055.394,465.0598,-1.6239597,5.2299368,3.3408938,2.4249938,0.69145804,0.23107462,3.507073,1.3113314,0.030866735
0.01,317.43055,5053.77,544.19697,-1.609488,5.225131,3.3395194,2.4028928,0.68723789,0.28217177,3.4964499,1.3234872,0.030389498
0.012,391.86437,5052.1605,618.86687,-1.5954247,5.2203674,3.338153,2.3818209,0.68319276,0.33053796,3.4863088,1.3354604,0.029933149
0.014,462.08584,5050.5651,689.3159,-1.5819987,5.2156439,3.3367943,2.361748,0.67931793,0.37627153,3.476646,1.347259,0.029496531
0.016,528.34795,5048.9831,755.79682,-1.5692137,5.2109586,3.3354431,2.3426339,0.6756071,0.41950805,3.4674501,1.3588904,0.029078499
0.018,590.89923,5047.4139,818.55806,-1.5570442,5.2063097,3.334099,2.3244343,0.67205323,0.46038867,3.4587056,1.3703616,0.02867795
0.02,649.97822,5045.8569,877.83825,-1.54546,5.2016955,3.3327617,2.3071035,0.66864904,0.49905349,3.4503952,1.3816792,0.028293842
0.022,705.81094,5044.3114,933.86351,-1.5344306,5.1971143,3.331431,2.2905959,0.66538727,0.53563807,3.4425003,1.3928492,0.027925192
0.024,758.60971,5042.777,986.84638,-1.5239265,5.1925646,3.3301064,2.2748672,0.66226077,0.57027169,3.4350022,1.4038777,0.027571081
0.026,808.57296,5041.253,1036.9856,-1.5139187,5.1880449,3.3287879,2.2598747,0.65926266,0.6030765,3.4278822,1.4147699,0.027230656
0.028,855.89321,5039.7391,1084.4663,-1.50438,5.1835537,3.3274751,2.2455778,0.65638634,0.63416216,3.4211221,1.4255312,0.026903117
0.03,900.73734,5038.2347,1129.4608,-1.4952843,5.1790898,3.3261679,2.2319378,0.65362551,0.66363945,3.4147042,1.4361663,0.026587724
0.032,943.26215,5036.7395,1172.1287,-1.4866068,5.174652,3.3248659,2.2189181,0.65097417,0.69161039,3.4086115,1.4466798,0.026283786
0.034,983.61551,5035.2528,1212.6184,-1.4783245,5.170239,3.3235691,2.2064843,0.64842668,0.7181684,3.4028278,1.457076,0.025990662
0.036,1021.9346,5033.7745,1251.0674,-1.4704155,5.1658498,3.3222771,2.194604,0.64597767,0.74340047,3.3973373,1.4673592,0.025707756
0.038,1058.3465,5032.3041,1287.6031,-1.4628591,5.1614833,3.3209899,2.1832468,0.64362209,0.76738753,3.3921254,1.477533,0.025434511
0.04,1092.9692,5030.8412,1322.3439,-1.455636,5.1571385,3.3197072,2.172384,0.64135517,0.79020487,3.3871779,1.4876011,0.025170411
0.042,1125.9123,5029.3856,1355.3995,-1.4487282,5.1528146,3.3184288,2.1619888,0.6391724,0.81192257,3.3824814,1.4975671,0.024914972
0.044,1157.2773,5027.9369,1386.8719,-1.4421185,5.1485105,3.3171547,2.1520358,0.63706956,0.83260581,3.3780233,1.5074342,0.024667745
0.046,1187.1586,5026.4948,1416.8558,-1.4357911,5.1442255,3.3158846,2.1425015,0.63504264,0.85231529,3.3737916,1.5172055,0.024428309
0.048,1215.6438,5025.059,1445.439,-1.4297309,5.1399588,3.3146184,2.1333636,0.63308788,0.87110755,3.3697748,1.526884,0.024196272
0.05,1242.8147,5023.6292,1472.7034,-1.4239237,5.1357096,3.313356,2.1246012,0.63120172,0.88903526,3.3659623,1.5364725,0.023971268
0.052,1268.7471,5022.2053,1498.7251,-1.4183564,5.1314772,3.3120973,2.1161946,0.62938083,0.90614753,3.3623437,1.5459737,0.023752952
0.054,1293.5117,5020.787,1523.5752,-1.4130166,5.1272609,3.310842,2.1081256,0.62762204,0.9224902,3.3589094,1.5553901,0.023541003
0.056,1317.1757,5019.3739,1547.3197,-1.4078925,5.1230602,3.3095902,2.1003767,0.62592238,0.93810572,3.3556503,1.5647242,0.023335119
0.058,1339.7993,5017.9661,1570.0202,-1.4029733,5.1188743,3.3083416,2.0929316,0.62427905,0.95303438,3.3525578,1.5739782,0.023135018
0.06,1361.4398,5016.5631,1591.7343,-1.3982484,5.1147028,3.3070962,2.0857751,0.62268939,0.96731356,3.3496236,1.5831544,0.022940434
0.062,1382.1507,5015.1648,1612.5158,-1.3937083,5.110545,3.3058539,2.0788927,0.6211509,0.9809782,3.34684,1.5922548,0.022751118
0.064,1401.9823,5013.7711,1632.4149,-1.3893438,5.1064004,3.3046146,2.0722709,0.61966121,0.994061,3.3441998,1.6012815,0.022566834
0.066,1420.9813,5012.3818,1651.4787,-1.3851462,5.1022686,3.3033782,2.0658968,0.6182181,1.0065926,3.3416958,1.6102365,0.022387361
0.068,1439.1916,5010.9966,1669.7511,-1.3811075,5.0981491,3.3021445,2.0597586,0.61681946,1.0186017,3.3393216,1.6191215,0.022212492
0.07,1456.6543,5009.6155,1687.2733,-1.3772199,5.0940414,3.3009136,2.0538446,0.61546328,1.0301153,3.337071,1.6279383,0.02204203
0.072,1473.4079,5008.2383,1704.0841,-1.3734764,5.0899451,3.2996853,2.0481444,0.61414769,1.0411586,3.3349379,1.6366886,0.021875791
0.074,1489.4885,5006.8648,1720.2196,-1.36987,5.0858598,3.2984596,2.0426478,0.61287088,1.0517553,3.332917,1.645374,0.021713599
0.076,1504.9301,5005.495,1735.7139,-1.3663943,5.0817852,3.2972363,2.0373451,0.61163118,1.0619279,3.3310027,1.6539962,0.021555289
0.078,1519.7646,5004.1286,1750.5991,-1.3630433,5.0777207,3.2960155,2.0322275,0.61042698,1.0716971,3.3291902,1.6625564,0.021400706
0.08,1534.022,5002.7655,1764.9051,-1.3598112,5.0736661,3.2947969,2.0272864,0.60925675,1.0810829,3.3274746,1.6710563,0.021249702
0.082,1547.7303,5001.4057,1778.6602,-1.3566927,5.0696211,3.2935807,2.0225137,0.60811906,1.0901038,3.3258515,1.6794972,0.021102136
0.084,1560.9161,5000.049,1791.8911,-1.3536824,5.0655853,3.2923667,2.0179018,0.60701255,1.0987772,3.3243165,1.6878803,0.020957876
0.086,1573.6045,4998.6953,1804.6228,-1.3507757,5.0615584,3.2911548,2.0134435,0.60593591,1.1071198,3.3228655,1.696207,0.020816798
0.088,1585.819,4997.3446,1816.8789,-1.3479679,5.0575401,3.289945,2.009132,0.60488791,1.115147,3.3214948,1.7044786,0.02067878
0.09,1597.5817,4995.9966,1828.6818,-1.3452546,5.0535302,3.2887373,2.0049608,0.60386738,1.1228736,3.3202006,1.712696,0.020543712
0.092,1608.9137,4994.6513,1840.0525,-1.3426318,5.0495284,3.2875315,2.0009238,0.60287323,1.1303134,3.3189794,1.7208606,0.020411484
0.094,1619.8347,4993.3087,1851.0108,-1.3400954,5.0455343,3.2863277,1.9970151,0.60190437,1.1374796,3.3178279,1.7289734,0.020281995
0.096,1630.3634,4991.9686,1861.5754,-1.3376419,5.0415479,3.2851258,1.9932293,0.60095983,1.1443845,3.316743,1.7370355,0.020155149
0.098,1640.5175,4990.631,1871.7641,-1.3352676,5.0375688,3.2839257,1.9895611,0.60003863,1.1510399,3.3157217,1.7450478,0.020030851
0.1,1650.3136,4989.2957,1881.5937,-1.3329693,5.0335968,3.2827275,1.9860056,0.59913987,1.1574569,3.3147611,1.7530114,0.019909015
0.102,1659.7677,4987.9627,1891.08,-1.3307437,5.0296316,3.2815309,1.9825579,0.59826269,1.1636459,3.3138586,1.7609273,0.019789556
0.104,1668.8946,4986.632,1900.2381,-1.3285878,5.0256732,3.2803361,1.9792137,0.59740625,1.1696169,3.3130114,1.7687962,0.019672395
0.106,1677.7086,4985.3034,1909.0822,-1.3264989,5.0217213,3.279143,1.9759687,0.59656978,1.1753794,3.3122173,1.7766192,0.019557455
0.108,1686.2231,4983.9769,1917.6257,-1.324474,5.0177756,3.2779515,1.9728189,0.59575253,1.1809423,3.3114737,1.7843971,0.019444663
0.11,1694.4508,4982.6524,1925.8814,-1.3225107,5.0138361,3.2767616,1.9697602,0.59495378,1.186314,3.3107786,1.7921307,0.019333951
0.112,1702.4039,4981.3299,1933.8616,-1.3206065,5.0099025,3.2755732,1.9667892,0.59417285,1.1915027,3.3101298,1.7998208,0.019225251
0.114,1710.0937,4980.0093,1941.5776,-1.318759,5.0059747,3.2743864,1.9639023,0.59340909,1.196516,3.3095252,1.8074682,0.0191185
0.116,1717.5313,4978.6906,1949.0405,-1.316966,5.0020525,3.2732011,1.9610962,0.59266187,1.2013611,3.308963,1.8150736,0.019013638
0.118,1724.7269,4977.3736,1956.2606,-1.3152254,4.9981358,3.2720172,1.9583677,0.59193062,1.2060449,3.3084412,1.8226378,0.018910606
0.12,1731.6904,4976.0584,1963.2478,-1.313535,4.9942244,3.2708348,1.9557137,0.59121476,1.2105741,3.3079583,1.8301616,0.018809349
0.122,1738.4312,4974.7448,1970.0115,-1.3118931,4.9903181,3.2696538,1.9531315,0.59051374,1.2149548,3.3075123,1.8376455,0.018709813
0.124,1744.9581,4973.4329,1976.5607,-1.3102977,4.9864169,3.2684741,1.9506182,0.58982706,1.2191931,3.3071019,1.8450903,0.018611948
0.126,1751.2797,4972.1226,1982.9037,-1.308747,4.9825205,3.2672958,1.9481712,0.58915422,1.2232945,3.3067254,1.8524966,0.018515705
0.128,1757.404,4970.8139,1989.0488,-1.3072395,4.978629,3.2661188,1.9457881,0.58849474,1.2272645,3.3063815,1.859865,0.018421036
0.13,1763.3386,4969.5066,1995.0037,-1.3057734,4.974742,3.2649431,1.9434664,0.58784817,1.2311081,3.3060686,1.8671961,0.018327897
0.132,1769.091,4968.2009,2000.7756,-1.3043473,4.9708596,3.2637687,1.9412038,0.58721407,1.2348304,3.3057855,1.8744906,0.018236244
0.134,1774.6682,4966.8965,2006.3717,-1.3029596,4.9669816,3.2625955,1.9389981,0.58659204,1.2384359,3.3055309,1.8817491,0.018146036
0.136,1780.077,4965.5936,2011.7985,-1.301609,4.9631079,3.2614235,1.9368474,0.58598167,1.241929,3.3053037,1.888972,0.018057233
0.138,1785.3236,4964.292,2017.0625,-1.3002941,4.9592384,3.2602528,1.9347495,0.58538259,1.245314,3.3051026,1.8961599,0.017969797
0.14,1790.4139,4962.9917,2022.1698,-1.2990137,4.955373,3.2590832,1.9327026,0.58479442,1.248595,3.3049265,1.9033133,0.017883691
0.142,1795.3538,4961.6927,2027.1261,-1.2977664,4.9515116,3.2579148,1.9307048,0.58421681,1.251776,3.3047744,1.9104329,0.017798879
0.144,1800.1488,4960.3949,2031.9371,-1.2965512,4.9476541,3.2567475,1.9287544,0.58364943,1.2548606,3.3046453,1.917519,0.017715327
0.146,1804.8043,4959.0983,2036.608,-1.2953669,4.9438004,3.2555813,1.9268497,0.58309196,1.2578524,3.3045382,1.9245722,0.017633002
0.148,1809.3252,4957.803,2041.1439,-1.2942125,4.9399504,3.2544162,1.9249891,0.58254409,1.2607548,3.3044522,1.931593,0.017551873
0.15,1813.7164,4956.5088,2045.5497,-1.2930869,4.9361041,3.2532522,1.923171,0.58200551,1.2635709,3.3043863,1.9385817,0.017471909
0.152,1817.9825,4955.2157,2049.83,-1.291989,4.9322613,3.2520892,1.9213941,0.58147595,1.2663039,3.3043398,1.945539,0.017393081
0.154,1822.1279,4953.9237,2053.9892,-1.290918,4.928422,3.2509273,1.9196569,0.58095512,1.2689568,3.3043118,1.9524651,0.01731536
0.156,1826.157,4952.6328,2058.0316,-1.289873,4.9245861,3.2497664,1.917958,0.58044277,1.2715323,3.3043016,1.9593606,0.01723872
0.158,1830.0737,4951.3429,2061.9612,-1.2888531,4.9207535,3.2486065,1.9162961,0.57993864,1.2740333,3.3043084,1.9662259,0.017163132
0.16,1833.8819,4950.054,2065.7821,-1.2878574,4.9169241,3.2474477,1.91467,0.57944248,1.2764622,3.3043314,1.9730613,0.017088574
0.162,1837.5853,4948.7662,2069.4978,-1.2868851,4.913098,3.2462898,1.9130785,0.57895407,1.2788217,3.3043701,1.9798673,0.017015018
0.164,1841.1876,4947.4793,2073.112,-1.2859356,4.9092749,3.2451328,1.9115205,0.57847317,1.2811141,3.3044237,1.9866443,0.016942443
0.166,1844.6921,4946.1934,2076.6281,-1.2850079,4.9054549,3.2439768,1.9099947,0.57799957,1.2833417,3.3044916,1.9933926,0.016870824
0.168,1848.1022,4944.9083,2080.0494,-1.2841015,4.9016379,3.2428217,1.9085003,0.57753306,1.2855066,3.3045733,2.0001127,0.01680014
0.17,1851.4209,4943.6242,2083.3791,-1.2832156,4.8978239,3.2416676,1.9070361,0.57707344,1.2876111,3.304668,2.0068048,0.016730369
0.172,1854.6513,4942.341,2086.6201,-1.2823495,4.8940127,3.2405144,1.9056013,0.57662051,1.289657,3.3047754,2.0134694,0.01666149
0.174,1857.7963,4941.0587,2089.7755,-1.2815028,4.8902043,3.239362,1.9041947,0.57617409,1.2916465,3.3048948,2.0201068,0.016593484
0.176,1860.8587,4939.7772,2092.848,-1.2806746,4.8863987,3.2382105,1.9028156,0.57573399,1.2935813,3.3050257,2.0267173,0.01652633
0.178,1863.8411,4938.4965,2095.8403,-1.2798645,4.8825957,3.2370599,1.9014631,0.57530005,1.2954632,3.3051677,2.0333013,0.016460011
0.18,1866.7462,4937.2166,2098.7549,-1.2790719,4.8787955,3.2359102,1.9001363,0.57487209,1.2972939,3.3053202,2.0398591,0.016394507
0.182,1869.5764,4935.9376,2101.5944,-1.2782963,4.8749978,3.2347613,1.8988345,0.57444996,1.2990752,3.3054829,2.0463911,0.016329802
0.184,1872.3341,4934.6593,2104.3611,-1.2775371,4.8712027,3.2336132,1.8975568,0.57403349,1.3008086,3.3056552,2.0528974,0.016265877
0.186,1875.0215,4933.3817,2107.0574,-1.2767938,4.8674101,3.232466,1.8963025,0.57362254,1.3024956,3.3058368,2.0593785,0.016202717
0.188,1877.6409,4932.1049,2109.6853,-1.276066,4.8636199,3.2313196,1.8950709,0.57321696,1.3041377,3.3060273,2.0658346,0.016140305
0.19,1880.1943,4930.8289,2112.2472,-1.2753532,4.8598322,3.2301739,1.8938613,0.57281661,1.3057363,3.3062263,2.0722661,0.016078626
0.192,1882.6839,4929.5535,2114.7449,-1.2746549,4.8560469,3.2290291,1.8926731,0.57242136,1.3072928,3.3064334,2.0786731,0.016017665
0.194,1885.1115,4928.2789,2117.1805,-1.2739707,4.8522638,3.227885,1.8915055,0.57203107,1.3088084,3.3066482,2.0850561,0.015957406
0.196,1887.4791,4927.0049,2119.5558,-1.2733002,4.8484831,3.2267417,1.890358,0.57164562,1.3102846,3.3068705,2.0914152,0.015897836
0.198,1889.7885,4925.7316,2121.8727,-1.272643,4.8447047,3.2255992,1.88923,0.57126489,1.3117224,3.3070999,2.0977508,0.015838941
0.2,1892.0413,4924.459,2124.133,-1.2719986,4.8409284,3.2244574,1.8881209,0.57088875,1.313123,3.307336,2.1040631,0.015780708
0.202,1894.2394,4923.187,2126.3382,-1.2713669,4.8371544,3.2233164,1.8870302,0.5705171,1.3144877,3.3075786,2.1103523,0.015723122
0.204,1896.3843,4921.9156,2128.4902,-1.2707473,4.8333824,3.2221761,1.8859572,0.57014982,1.3158173,3.3078274,2.1166188,0.015666173
0.206,1898.4777,4920.6448,2130.5903,-1.2701395,4.8296126,3.2210365,1.8849015,0.56978681,1.3171131,3.3080821,2.1228627,0.015609846
0.208,1900.5209,4919.3747,2132.6402,-1.2695432,4.8258449,3.2198977,1.8838627,0.56942796,1.318376,3.3083424,2.1290844,0.015554131
0.21,1902.5155,4918.1052,2134.6413,-1.2689581,4.8220792,3.2187595,1.8828401,0.56907318,1.319607,3.3086081,2.135284,0.015499016
0.212,1904.4628,4916.8362,2136.595,-1.2683838,4.8183156,3.2176221,1.8818334,0.56872236,1.320807,3.3088789,2.1414618,0.015444489
0.214,1906.3643,4915.5678,2138.5026,-1.2678201,4.8145539,3.2164853,1.8808421,0.56837541,1.321977,3.3091546,2.147618,0.015390539
0.216,1908.2212,4914.3,2140.3656,-1.2672666,4.8107942,3.2153492,1.8798657,0.56803225,1.3231178,3.3094349,2.1537529,0.015337156
0.218,1910.0349,4913.0327,2142.1851,-1.2667231,4.8070364,3.2142139,1.8789039,0.56769278,1.3242302,3.3097197,2.1598666,0.015284329
0.22,1911.8064,4911.766,2143.9624,-1.2661894,4.8032804,3.2130791,1.8779563,0.56735691,1.3253151,3.3100086,2.1659594,0.015232048
0.222,1913.5371,4910.4998,2145.6987,-1.265665,4.7995264,3.2119451,1.8770224,0.56702458,1.3263733,3.3103016,2.1720316,0.015180303
0.224,1915.2279,4909.2342,2147.395,-1.2651499,4.7957742,3.2108117,1.8761018,0.56669568,1.3274055,3.3105984,2.1780832,0.015129085
0.226,1916.8802,4907.969,2149.0526,-1.2646437,4.7920238,3.209679,1.8751943,0.56637016,1.3284125,3.3108988,2.1841145,0.015078383
0.228,1918.4948,4906.7044,2150.6724,-1.2641462,4.7882752,3.2085469,1.8742994,0.56604793,1.3293949,3.3112026,2.1901258,0.01502819
0.23,1920.0728,4905.4402,2152.2556,-1.2636572,4.7845284,3.2074154,1.8734168,0.56572891,1.3303535,3.3115097,2.1961172,0.014978496
0.232,1921.6153,4904.1766,2153.803,-1.2631765,4.7807833,3.2062846,1.8725462,0.56541305,1.3312888,3.3118199,2.2020889,0.014929291
0.234,1923.1232,4902.9134,2155.3158,-1.2627038,4.7770399,3.2051544,1.8716872,0.56510027,1.3322017,3.312133,2.2080412,0.014880569
0.236,1924.5974,4901.6507,2156.7947,-1.2622389,4.7732982,3.2040248,1.8708396,0.56479049,1.3330926,3.3124489,2.2139741,0.01483232
0.238,1926.0387,4900.3884,2158.2407,-1.2617817,4.7695582,3.2028958,1.8700031,0.56448367,1.3339622,3.3127674,2.2198879,0.014784537
0.24,1927.4482,4899.1267,2159.6547,-1.2613319,4.7658199,3.2017675,1.8691773,0.56417973,1.3348111,3.3130883,2.2257828,0.014737212
0.242,1928.8266,4897.8653,2161.0375,-1.2608893,4.7620831,3.2006397,1.8683619,0.56387862,1.3356398,3.3134115,2.2316589,0.014690336
0.244,1930.1747,4896.6044,2162.39,-1.2604538,4.758348,3.1995126,1.8675568,0.56358027,1.3364488,3.313737,2.2375165,0.014643903
0.246,1931.4933,4895.344,2163.7128,-1.2600252,4.7546145,3.198386,1.8667616,0.56328463,1.3372387,3.3140645,2.2433556,0.014597905
0.248,1932.7833,4894.084,2165.0069,-1.2596033,4.7508825,3.19726,1.8659761,0.56299164,1.3380101,3.3143939,2.2491766,0.014552336
0.25,1934.0452,4892.8243,2166.2729,-1.2591879,4.7471521,3.1961346,1.8652,0.56270125,1.3387633,3.3147251,2.2549795,0.014507187
0.252,1935.2799,4891.5652,2167.5115,-1.258779,4.7434233,3.1950098,1.8644331,0.5624134,1.3394988,3.315058,2.2607644,0.014462453
0.254,1936.4881,4890.3064,2168.7235,-1.2583763,4.7396959,3.1938855,1.8636751,0.56212805,1.3402172,3.3153925,2.2665317,0.014418126
0.256,1937.6703,4889.048,2169.9096,-1.2579796,4.7359701,3.1927618,1.8629259,0.56184514,1.3409189,3.3157285,2.2722814,0.014374201
0.258,1938.8273,4887.79,2171.0703,-1.2575889,4.7322457,3.1916387,1.8621852,0.56156462,1.3416043,3.3160658,2.2780136,0.014330671
0.26,1939.9597,4886.5324,2172.2063,-1.257204,4.7285228,3.1905161,1.8614528,0.56128645,1.3422738,3.3164044,2.2837286,0.014287529
0.262,1941.0681,4885.2752,2173.3182,-1.2568247,4.7248013,3.1893941,1.8607285,0.56101058,1.3429278,3.3167441,2.2894266,0.01424477
0.264,1942.1532,4884.0184,2174.4067,-1.2564509,4.7210813,3.1882726,1.8600121,0.56073697,1.3435668,3.3170849,2.2951075,0.014202387
0.266,1943.2153,4882.762,2175.4722,-1.2560826,4.7173627,3.1871517,1.8593034,0.56046557,1.344191,3.3174266,2.3007717,0.014160376
0.268,1944.2552,4881.5059,2176.5154,-1.2557194,4.7136455,3.1860313,1.8586022,0.56019634,1.344801,3.3177693,2.3064191,0.01411873
0.27,1945.2734,4880.2502,2177.5368,-1.2553615,4.7099297,3.1849115,1.8579083,0.55992923,1.345397,3.3181127,2.3120501,0.014077443
0.272,1946.2704,4878.9948,2178.537,-1.2550085,4.7062153,3.1837921,1.8572216,0.55966422,1.3459794,3.3184569,2.3176647,0.014036511
0.274,1947.2467,4877.7398,2179.5164,-1.2546605,4.7025022,3.1826733,1.8565419,0.55940126,1.3465485,3.3188017,2.3232631,0.013995928
0.276,1948.2028,4876.4851,2180.4755,-1.2543172,4.6987904,3.181555,1.8558689,0.55914031,1.3471046,3.3191471,2.3288454,0.013955689
0.278,1949.1392,4875.2308,2181.4148,-1.2539786,4.69508,3.1804373,1.8552026,0.55888133,1.3476482,3.319493,2.3344117,0.013915789
0.28,1950.0563,4873.9768,2182.3349,-1.2536446,4.6913709,3.17932,1.8545429,0.55862429,1.3481794,3.3198392,2.3399622,0.013876222
0.282,1950.9547,4872.7232,2183.236,-1.2533151,4.6876632,3.1782033,1.8538894,0.55836916,1.3486986,3.3201859,2.345497,0.013836985
0.284,1951.8347,4871.4699,2184.1188,-1.2529899,4.6839567,3.1770871,1.8532421,0.55811589,1.3492061,3.3205328,2.3510162,0.013798072
0.286,1952.6967,4870.2169,2184.9836,-1.2526691,4.6802515,3.1759713,1.8526009,0.55786446,1.3497021,3.32088,2.35652,0.013759478
0.288,1953.5413,4868.9642,2185.8308,-1.2523524,4.6765475,3.1748561,1.8519656,0.55761484,1.350187,3.3212273,2.3620085,0.013721199
0.29,1954.3687,4867.7119,2186.6608,-1.2520397,4.6728449,3.1737414,1.8513361,0.55736698,1.350661,3.3215747,2.3674818,0.013683231
0.292,1955.1795,4866.4598,2187.4741,-1.2517311,4.6691434,3.1726271,1.8507122,0.55712086,1.3511243,3.3219222,2.37294,0.013645569
0.294,1955.9738,4865.2081,2188.2709,-1.2514264,4.6654433,3.1715134,1.8500937,0.55687645,1.3515773,3.3222697,2.3783833,0.013608209
0.296,1956.7523,4863.9567,2189.0518,-1.2511256,4.6617443,3.1704001,1.8494807,0.55663372,1.3520201,3.3226171,2.3838117,0.013571147
0.298,1957.5151,4862.7055,2189.817,-1.2508285,4.6580466,3.1692873,1.8488729,0.55639265,1.352453,3.3229644,2.3892255,0.013534378
0.3,1958.2627,4861.4547,2190.5669,-1.250535,4.65435,3.168175,1.8482703,0.55615319,1.3528762,3.3233115,2.3946246,0.013497899
0.302,1958.9953,4860.2042,2191.3018,-1.2502452,4.6506547,3.1670632,1.8476727,0.55591533,1.35329,3.3236585,2.4000093,0.013461706
0.304,1959.7134,4858.9539,2192.0221,-1.2499588,4.6469605,3.1659518,1.84708,0.55567904,1.3536946,3.3240051,2.4053796,0.013425794
0.306,1960.4172,4857.704,2192.7281,-1.2496759,4.6432675,3.1648409,1.8464921,0.55544429,1.3540901,3.3243515,2.4107357,0.01339016
0.308,1961.107,4856.4543,2193.4201,-1.2493964,4.6395757,3.1637305,1.8459089,0.55521106,1.3544768,3.3246976,2.4160776,0.0133548
0.31,1961.7832,4855.2049,2194.0984,-1.2491202,4.635885,3.1626206,1.8453303,0.55497932,1.3548549,3.3250433,2.4214055,0.013319711
0.312,1962.4461,4853.9558,2194.7633,-1.2488472,4.6321955,3.1615111,1.8447561,0.55474905,1.3552246,3.3253885,2.4267195,0.013284889
0.314,1963.0959,4852.7069,2195.4151,-1.2485773,4.6285072,3.160402,1.8441864,0.55452022,1.3555861,3.3257333,2.4320196,0.01325033
0.316,1963.7329,4851.4584,2196.0541,-1.2483106,4.6248199,3.1592934,1.8436209,0.55429282,1.3559395,3.3260776,2.437306,0.013216031
0.318,1964.3574,4850.21,2196.6805,-1.2480469,4.6211338,3.1581853,1.8430597,0.55406681,1.3562851,3.3264214,2.4425788,0.013181989
0.32,1964.9697,4848.962,2197.2947,-1.2477862,4.6174488,3.1570776,1.8425025,0.55384217,1.356623,3.3267646,2.4478381,0.013148201
0.322,1965.57,4847.7142,2197.8968,-1.2475284,4.6137649,3.1559704,1.8419494,0.55361889,1.3569533,3.3271072,2.453084,0.013114662
0.324,1966.1586,4846.4667,2198.4872,-1.2472735,4.6100821,3.1548636,1.8414003,0.55339695,1.3572763,3.3274492,2.4583165,0.01308137
0.326,1966.7357,4845.2194,2199.0661,-1.2470213,4.6064004,3.1537572,1.8408549,0.55317631,1.3575922,3.3277906,2.4635358,0.013048322
0.328,1967.3016,4843.9724,2199.6337,-1.246772,4.6027198,3.1526513,1.8403134,0.55295697,1.357901,3.3281313,2.468742,0.013015514
0.33,1967.8564,4842.7256,2200.1902,-1.2465253,4.5990402,3.1515458,1.8397755,0.5527389,1.3582029,3.3284712,2.4739352,0.012982944
0.332,1968.4005,4841.4791,2200.7359,-1.2462813,4.5953617,3.1504408,1.8392412,0.55252208,1.3584981,3.3288104,2.4791155,0.012950609
0.334,1968.934,4840.2328,2201.2711,-1.2460398,4.5916843,3.1493362,1.8387105,0.55230649,1.3587867,3.3291489,2.4842829,0.012918506
0.336,1969.4572,4838.9868,2201.7958,-1.2458009,4.5880079,3.148232,1.8381833,0.55209212,1.3590688,3.3294865,2.4894375,0.012886631
0.338,1969.9702,4837.741,2202.3104,-1.2455645,4.5843326,3.1471282,1.8376594,0.55187895,1.3593447,3.3298234,2.4945795,0.012854982
0.34,1970.4734,4836.4954,2202.8151,-1.2453306,4.5806583,3.1460249,1.8371389,0.55166695,1.3596144,3.3301594,2.4997089,0.012823557
0.342,1970.9668,4835.2501,2203.31,-1.2450991,4.5769851,3.144922,1.8366216,0.55145612,1.3598781,3.3304945,2.5048259,0.012792352
0.344,1971.4506,4834.005,2203.7953,-1.2448699,4.5733129,3.1438195,1.8361075,0.55124643,1.3601358,3.3308288,2.5099304,0.012761365
0.346,1971.9251,4832.7601,2204.2712,-1.244643,4.5696417,3.1427174,1.8355965,0.55103787,1.3603878,3.3311621,2.5150227,0.012730593
0.348,1972.3905,4831.5155,2204.738,-1.2444184,4.5659715,3.1416158,1.8350885,0.55083042,1.3606341,3.3314946,2.5201027,0.012700034
0.35,1972.8469,4830.271,2205.1958,-1.244196,4.5623023,3.1405145,1.8345836,0.55062406,1.3608748,3.3318261,2.5251705,0.012669685
0.352,1973.2945,4829.0268,2205.6447,-1.2439758,4.5586342,3.1394137,1.8340816,0.55041879,1.3611102,3.3321566,2.5302264,0.012639544
0.354,1973.7335,4827.7829,2206.085,-1.2437578,4.554967,3.1383132,1.8335825,0.55021458,1.3613402,3.3324862,2.5352702,0.012609608
0.356,1974.164,4826.5391,2206.5168,-1.2435419,4.5513008,3.1372132,1.8330862,0.55001142,1.361565,3.3328148,2.5403022,0.012579875
0.358,1974.5862,4825.2956,2206.9402,-1.2433281,4.5476357,3.1361136,1.8325926,0.54980929,1.3617847,3.3331423,2.5453223,0.012550343
0.36,1975.0003,4824.0522,2207.3555,-1.2431163,4.5439715,3.1350144,1.8321018,0.54960819,1.3619993,3.3334689,2.5503307,0.012521008
0.362,1975.4064,4822.8091,2207.7629,-1.2429065,4.5403082,3.1339156,1.8316136,0.54940809,1.3622091,3.3337944,2.5553274,0.012491869
